Feature (description),Attribute,M,T
Class Prior,N/A,0.992,0.008
N_C_AGE (N/A),M,0.0002,0.0058
N_C_AGE (N/A),ge18less65,0.5614,0.5145
N_C_AGE (N/A),ge5less18,0.161,0.0751
N_C_AGE (N/A),ge65,0.1459,0.341
N_C_AGE (N/A),less5,0.1315,0.0636
N_D_ETHNICITY (N/A),HISPANIC_OR_LATINO,0.0113,0.0233
N_D_ETHNICITY (N/A),M,0.0151,0.0174
N_D_ETHNICITY (N/A),NOT_HISPANIC_OR_LATINO,0.9028,0.8314
N_D_ETHNICITY (N/A),NOT_SPECIFIED,0.0708,0.1279
N_D_RACE (N/A),BLACK,0.3781,0.5029
N_D_RACE (N/A),M,0.0066,0.0058
N_D_RACE (N/A),NOT_SPECIFIED,0.0221,0.0231
N_D_RACE (N/A),OTHER,0.0324,0.0462
N_D_RACE (N/A),WHITE,0.5607,0.422
C_D_C0000737 (Abdominal Pain),M,0.6869,0.6257
C_D_C0000737 (Abdominal Pain),N,0.1076,0.1871
C_D_C0000737 (Abdominal Pain),P,0.2056,0.1871
C_D_C0003862 (Arthralgia),M,0.842,0.8363
C_D_C0003862 (Arthralgia),N,0.0598,0.0819
C_D_C0003862 (Arthralgia),P,0.0982,0.0819
C_D_C0004604 (Back Pain),M,0.7874,0.7953
C_D_C0004604 (Back Pain),N,0.08,0.0702
C_D_C0004604 (Back Pain),P,0.1325,0.1345
C_D_C0005603 (Birth History),M,0.9998,0.9883
C_D_C0005603 (Birth History),N,0,0.0058
C_D_C0005603 (Birth History),P,0.0001,0.0058
C_D_C0005758 (Bulla),M,0.9878,0.9766
C_D_C0005758 (Bulla),N,0.0021,0.0175
C_D_C0005758 (Bulla),P,0.0101,0.0058
C_D_C0007859 (Neck Pain),M,0.8816,0.9181
C_D_C0007859 (Neck Pain),N,0.0604,0.0526
C_D_C0007859 (Neck Pain),P,0.058,0.0292
C_D_C0008031 (Chest Pain),M,0.5294,0.4795
C_D_C0008031 (Chest Pain),N,0.3093,0.269
C_D_C0008031 (Chest Pain),P,0.1613,0.2515
C_D_C0008035 (Chest wall pain),M,0.9847,0.9883
C_D_C0008035 (Chest wall pain),N,0.0003,0.0058
C_D_C0008035 (Chest wall pain),P,0.015,0.0058
C_D_C0009488 (Comorbidity),M,0.9947,0.9474
C_D_C0009488 (Comorbidity),N,0.0001,0.0058
C_D_C0009488 (Comorbidity),P,0.0052,0.0468
C_D_C0009791 (Consciousness related finding),M,0.971,0.9825
C_D_C0009791 (Consciousness related finding),N,0.001,0.0058
C_D_C0009791 (Consciousness related finding),P,0.028,0.0117
C_D_C0009806 (Constipation),M,0.8949,0.8538
C_D_C0009806 (Constipation),N,0.0337,0.0526
C_D_C0009806 (Constipation),P,0.0714,0.0936
C_D_C0009812 (Constitutional Symptom),M,0.989,0.9883
C_D_C0009812 (Constitutional Symptom),N,0.0097,0.0058
C_D_C0009812 (Constitutional Symptom),P,0.0013,0.0058
C_D_C0010200 (Coughing),M,0.6802,0.3567
C_D_C0010200 (Coughing),N,0.1788,0.152
C_D_C0010200 (Coughing),P,0.141,0.4912
C_D_C0010520 (Cyanosis),M,0.9565,0.9474
C_D_C0010520 (Cyanosis),N,0.0297,0.0351
C_D_C0010520 (Cyanosis),P,0.0139,0.0175
C_D_C0011991 (Diarrhea),M,0.7105,0.5906
C_D_C0011991 (Diarrhea),N,0.1258,0.1462
C_D_C0011991 (Diarrhea),P,0.1637,0.2632
C_D_C0012569 (Diplopia),M,0.9433,0.9708
C_D_C0012569 (Diplopia),N,0.0328,0.0058
C_D_C0012569 (Diplopia),P,0.0239,0.0234
C_D_C0012833 (Dizziness),M,0.858,0.8713
C_D_C0012833 (Dizziness),N,0.0214,0.0175
C_D_C0012833 (Dizziness),P,0.1207,0.1111
C_D_C0013144 (Drowsiness),M,0.9792,0.9474
C_D_C0013144 (Drowsiness),N,0.0007,0.0058
C_D_C0013144 (Drowsiness),P,0.0201,0.0468
C_D_C0013404 (Dyspnea),M,0.529,0.3158
C_D_C0013404 (Dyspnea),N,0.2285,0.1404
C_D_C0013404 (Dyspnea),P,0.2425,0.5439
C_D_C0013428 (Dysuria),M,0.688,0.6667
C_D_C0013428 (Dysuria),N,0.2414,0.2398
C_D_C0013428 (Dysuria),P,0.0706,0.0936
C_D_C0015230 (Exanthema),M,0.5343,0.4503
C_D_C0015230 (Exanthema),N,0.3897,0.4912
C_D_C0015230 (Exanthema),P,0.076,0.0585
C_D_C0015468 (Facial Pain),M,0.9923,0.9883
C_D_C0015468 (Facial Pain),N,0.0004,0.0058
C_D_C0015468 (Facial Pain),P,0.0073,0.0058
C_D_C0015672 (Fatigue),M,0.9318,0.8187
C_D_C0015672 (Fatigue),N,0.031,0.0117
C_D_C0015672 (Fatigue),P,0.0372,0.1696
C_D_C0015967 (Fever),M,0.4996,0.2632
C_D_C0015967 (Fever),N,0.3496,0.1754
C_D_C0015967 (Fever),P,0.1507,0.5614
C_D_C0016199 (Flank Pain),M,0.9778,0.9883
C_D_C0016199 (Flank Pain),N,0.0033,0.0058
C_D_C0016199 (Flank Pain),P,0.0189,0.0058
C_D_C0016512 (Foot pain),M,0.9878,0.9883
C_D_C0016512 (Foot pain),N,0.0007,0.0058
C_D_C0016512 (Foot pain),P,0.0115,0.0058
C_D_C0016928 (Gait),M,0.963,0.9591
C_D_C0016928 (Gait),N,0.0004,0.0058
C_D_C0016928 (Gait),P,0.0366,0.0351
C_D_C0017979 (Glycosuria),M,0.9012,0.9006
C_D_C0017979 (Glycosuria),N,0.0001,0.0058
C_D_C0017979 (Glycosuria),P,0.0987,0.0936
C_D_C0018681 (Headache),M,0.7423,0.6959
C_D_C0018681 (Headache),N,0.1319,0.1053
C_D_C0018681 (Headache),P,0.1258,0.1988
C_D_C0018808 (Heart murmur),M,0.6156,0.5848
C_D_C0018808 (Heart murmur),N,0.3603,0.3684
C_D_C0018808 (Heart murmur),P,0.024,0.0468
C_D_C0019029 (Hemoglobin concentration result),M,0.7643,0.5906
C_D_C0019029 (Hemoglobin concentration result),N,0,0.0058
C_D_C0019029 (Hemoglobin concentration result),P,0.2356,0.4035
C_D_C0019214 (Hepatosplenomegaly),M,0.9298,0.8889
C_D_C0019214 (Hepatosplenomegaly),N,0.07,0.1053
C_D_C0019214 (Hepatosplenomegaly),P,0.0002,0.0058
C_D_C0019559 (Hip joint pain),M,0.9886,0.9825
C_D_C0019559 (Hip joint pain),N,0.0006,0.0058
C_D_C0019559 (Hip joint pain),P,0.0108,0.0117
C_D_C0020580 (Hypesthesia),M,0.717,0.8129
C_D_C0020580 (Hypesthesia),N,0.1901,0.152
C_D_C0020580 (Hypesthesia),P,0.0929,0.0351
C_D_C0021294 ('Infant  Premature'),M,0.9998,0.9883
C_D_C0021294 ('Infant  Premature'),N,0.0001,0.0058
C_D_C0021294 ('Infant  Premature'),P,0.0001,0.0058
