===== Class Prior Probabilities =====
P(ENTEROVIRUS=False) = 0.9866395348837209
P(ENTEROVIRUS=True) = 0.01336046511627907

===== Conditional Probabilities =====
P(AGE=Not Mentioned | ENTEROVIRUS=False) = 1.1784809380708267E-4
P(AGE=18-64 | ENTEROVIRUS=False) = 0.5745212421189088
P(AGE=5-17 | ENTEROVIRUS=False) = 0.15904778740203876
P(AGE=65+ | ENTEROVIRUS=False) = 0.1342996877025514
P(AGE=<5 | ENTEROVIRUS=False) = 0.132013434682694
P(AGE=Not Mentioned | ENTEROVIRUS=True) = 8.673026886383347E-4
P(AGE=18-64 | ENTEROVIRUS=True) = 0.12575888985255854
P(AGE=5-17 | ENTEROVIRUS=True) = 0.17259323503902863
P(AGE=65+ | ENTEROVIRUS=True) = 0.03816131830008673
P(AGE=<5 | ENTEROVIRUS=True) = 0.6626192541196878
P(N_D_ETHNICITY=HISPANIC_OR_LATINO | ENTEROVIRUS=False) = 0.011631743936644118
P(N_D_ETHNICITY=Not Mentioned | ENTEROVIRUS=False) = 0.011773163315813044
P(N_D_ETHNICITY=NOT_HISPANIC_OR_LATINO | ENTEROVIRUS=False) = 0.9078299196266528
P(N_D_ETHNICITY=NOT_SPECIFIED | ENTEROVIRUS=False) = 0.06876517312089
P(N_D_ETHNICITY=HISPANIC_OR_LATINO | ENTEROVIRUS=True) = 0.03732638888888889
P(N_D_ETHNICITY=Not Mentioned | ENTEROVIRUS=True) = 0.010416666666666666
P(N_D_ETHNICITY=NOT_HISPANIC_OR_LATINO | ENTEROVIRUS=True) = 0.8975694444444444
P(N_D_ETHNICITY=NOT_SPECIFIED | ENTEROVIRUS=True) = 0.0546875
P(N_D_RACE=BLACK | ENTEROVIRUS=False) = 0.38216958340698837
P(N_D_RACE=Not Mentioned | ENTEROVIRUS=False) = 0.0042425313770549766
P(N_D_RACE=NOT_SPECIFIED | ENTEROVIRUS=False) = 0.015497024335631372
P(N_D_RACE=OTHER | ENTEROVIRUS=False) = 0.035177656001414176
P(N_D_RACE=WHITE | ENTEROVIRUS=False) = 0.562913204878911
P(N_D_RACE=BLACK | ENTEROVIRUS=True) = 0.3720728534258456
P(N_D_RACE=Not Mentioned | ENTEROVIRUS=True) = 0.0026019080659150044
P(N_D_RACE=NOT_SPECIFIED | ENTEROVIRUS=True) = 0.02168256721595837
P(N_D_RACE=OTHER | ENTEROVIRUS=True) = 0.031222896790980052
P(N_D_RACE=WHITE | ENTEROVIRUS=True) = 0.572419774501301
