Feature (description),Attribute,M,T
Class Prior,N/A,0.9988,0.0012
N_C_AGE (N/A),M,0,0.0093
N_C_AGE (N/A),ge18less65,0.5955,0.0935
N_C_AGE (N/A),ge5less18,0.1582,0.1682
N_C_AGE (N/A),ge65,0.1185,0.0935
N_C_AGE (N/A),less5,0.1278,0.6355
C_D_C0000737 (Abdominal Pain),M,0.6489,0.781
C_D_C0000737 (Abdominal Pain),N,0.1278,0.1238
C_D_C0000737 (Abdominal Pain),P,0.2234,0.0952
C_D_C0003578 (Apnea),M,0.9836,0.9524
C_D_C0003578 (Apnea),N,0.0018,0.019
C_D_C0003578 (Apnea),P,0.0146,0.0286
C_D_C0004604 (Back Pain),M,0.8416,0.9238
C_D_C0004604 (Back Pain),N,0.0257,0.0381
C_D_C0004604 (Back Pain),P,0.1327,0.0381
C_D_C0005603 (Birth History),M,0.9797,0.8571
C_D_C0005603 (Birth History),N,0,0.0095
C_D_C0005603 (Birth History),P,0.0203,0.1333
C_D_C0008031 (Chest Pain),M,0.6038,0.7905
C_D_C0008031 (Chest Pain),N,0.2039,0.1048
C_D_C0008031 (Chest Pain),P,0.1923,0.1048
C_D_C0009812 (Constitutional Symptom),M,0.8309,0.4
C_D_C0009812 (Constitutional Symptom),N,0.0041,0.019
C_D_C0009812 (Constitutional Symptom),P,0.1651,0.581
C_D_C0010200 (Coughing),M,0.7427,0.2667
C_D_C0010200 (Coughing),N,0.1125,0.0857
C_D_C0010200 (Coughing),P,0.1448,0.6476
C_D_C0011991 (Diarrhea),M,0.7435,0.5619
C_D_C0011991 (Diarrhea),N,0.0659,0.1238
C_D_C0011991 (Diarrhea),P,0.1906,0.3143
C_D_C0012833 (Dizziness),M,0.878,0.9524
C_D_C0012833 (Dizziness),N,0.018,0.019
C_D_C0012833 (Dizziness),P,0.1041,0.0286
C_D_C0013404 (Dyspnea),M,0.5673,0.5524
C_D_C0013404 (Dyspnea),N,0.1634,0.0286
C_D_C0013404 (Dyspnea),P,0.2693,0.419
C_D_C0015230 (Exanthema),M,0.4673,0.3429
C_D_C0015230 (Exanthema),N,0.4364,0.5905
C_D_C0015230 (Exanthema),P,0.0963,0.0667
C_D_C0015672 (Fatigue),M,0.9487,0.8667
C_D_C0015672 (Fatigue),N,0.0087,0.0095
C_D_C0015672 (Fatigue),P,0.0426,0.1238
C_D_C0015967 (Fever),M,0.4085,0.0952
C_D_C0015967 (Fever),N,0.3512,0.219
C_D_C0015967 (Fever),P,0.2403,0.6857
C_D_C0016512 (Foot pain),M,0.9846,0.981
C_D_C0016512 (Foot pain),N,0.0005,0.0095
C_D_C0016512 (Foot pain),P,0.0149,0.0095
C_D_C0017979 (Glycosuria),M,0.936,0.8476
C_D_C0017979 (Glycosuria),N,0.0001,0.0095
C_D_C0017979 (Glycosuria),P,0.0639,0.1429
C_D_C0018681 (Headache),M,0.733,0.8667
C_D_C0018681 (Headache),N,0.1153,0.0762
C_D_C0018681 (Headache),P,0.1517,0.0571
C_D_C0019029 (Hemoglobin concentration result),M,0.8569,0.6095
C_D_C0019029 (Hemoglobin concentration result),N,0,0.0095
C_D_C0019029 (Hemoglobin concentration result),P,0.1431,0.381
C_D_C0019079 (Hemoptysis),M,0.9799,0.9714
C_D_C0019079 (Hemoptysis),N,0.0085,0.0095
C_D_C0019079 (Hemoptysis),P,0.0115,0.019
C_D_C0019214 (Hepatosplenomegaly),M,0.9019,0.9333
C_D_C0019214 (Hepatosplenomegaly),N,0.0957,0.0286
C_D_C0019214 (Hepatosplenomegaly),P,0.0024,0.0381
C_D_C0020580 (Hypesthesia),M,0.8535,0.9429
C_D_C0020580 (Hypesthesia),N,0.0545,0.0286
C_D_C0020580 (Hypesthesia),P,0.0919,0.0286
C_D_C0021294 ('Infant  Premature'),M,0.9985,0.9048
C_D_C0021294 ('Infant  Premature'),N,0,0.0095
C_D_C0021294 ('Infant  Premature'),P,0.0015,0.0857
C_D_C0022346 (Icterus),M,0.7194,0.7714
C_D_C0022346 (Icterus),N,0.0663,0.1524
C_D_C0022346 (Icterus),P,0.2144,0.0762
C_D_C0023380 (Lethargy),M,0.9844,0.9524
C_D_C0023380 (Lethargy),N,0.0042,0.019
C_D_C0023380 (Lethargy),P,0.0114,0.0286
C_D_C0024031 (Low Back Pain),M,0.9656,0.981
C_D_C0024031 (Low Back Pain),N,0.0005,0.0095
C_D_C0024031 (Low Back Pain),P,0.0339,0.0095
C_D_C0027424 (Nasal congestion (finding)),M,0.9413,0.7238
C_D_C0027424 (Nasal congestion (finding)),N,0.0265,0.0476
C_D_C0027424 (Nasal congestion (finding)),P,0.0322,0.2286
C_D_C0027497 (Nausea),M,0.6537,0.8476
C_D_C0027497 (Nausea),N,0.1144,0.0476
C_D_C0027497 (Nausea),P,0.2319,0.1048
C_D_C0028643 (Numbness),M,0.8493,0.9429
C_D_C0028643 (Numbness),N,0.0571,0.0286
C_D_C0028643 (Numbness),P,0.0936,0.0286
C_D_C0029053 (Decreased translucency),M,0.9895,0.8667
C_D_C0029053 (Decreased translucency),N,0.0003,0.0095
C_D_C0029053 (Decreased translucency),P,0.0101,0.1238
C_D_C0030193 (Pain),M,0.4552,0.8381
C_D_C0030193 (Pain),N,0.1056,0.0381
C_D_C0030193 (Pain),P,0.4392,0.1238
C_D_C0030232 (Pallor),M,0.9337,0.8952
C_D_C0030232 (Pallor),N,0.0469,0.0857
C_D_C0030232 (Pallor),P,0.0193,0.019
C_D_C0030252 (Palpitations),M,0.8989,0.9524
C_D_C0030252 (Palpitations),N,0.0365,0.0286
C_D_C0030252 (Palpitations),P,0.0646,0.019
C_D_C0034642 (Rales),M,0.8194,0.7143
C_D_C0034642 (Rales),N,0.0231,0.0762
C_D_C0034642 (Rales),P,0.1575,0.2095
C_D_C0035508 (Rhonchi),M,0.8969,0.8857
C_D_C0035508 (Rhonchi),N,0.0069,0.0286
C_D_C0035508 (Rhonchi),P,0.0962,0.0857
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.8518,0.4286
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.002,0.019
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.1461,0.5524
C_D_C0039231 (Tachycardia),M,0.9529,0.781
C_D_C0039231 (Tachycardia),N,0.0074,0.0381
C_D_C0039231 (Tachycardia),P,0.0397,0.181
C_D_C0040460 (Toothache),M,0.9773,0.981
C_D_C0040460 (Toothache),N,0.001,0.0095
C_D_C0040460 (Toothache),P,0.0217,0.0095
C_D_C0041657 (Unconscious State),M,0.9376,0.981
C_D_C0041657 (Unconscious State),N,0.0319,0.0095
C_D_C0041657 (Unconscious State),P,0.0306,0.0095
C_D_C0042963 (Vomiting),M,0.7214,0.5238
C_D_C0042963 (Vomiting),N,0.1281,0.181
C_D_C0042963 (Vomiting),P,0.1505,0.2952
C_D_C0043144 (Wheezing),M,0.8072,0.5238
C_D_C0043144 (Wheezing),N,0.1382,0.1429
C_D_C0043144 (Wheezing),P,0.0546,0.3333
C_D_C0085393 (Immunocompromised Host),M,0.9957,0.9524
C_D_C0085393 (Immunocompromised Host),N,0.0009,0.019
C_D_C0085393 (Immunocompromised Host),P,0.0034,0.0286
C_D_C0085593 (Chills),M,0.6502,0.8476
C_D_C0085593 (Chills),N,0.0673,0.019
C_D_C0085593 (Chills),P,0.2825,0.1333
C_D_C0085639 (Falls),M,0.9164,0.9524
C_D_C0085639 (Falls),N,0.0069,0.0095
C_D_C0085639 (Falls),P,0.0767,0.0381
C_D_C0150618 (History and physical examination),M,0.7722,0.8476
C_D_C0150618 (History and physical examination),N,0.0003,0.0095
C_D_C0150618 (History and physical examination),P,0.2276,0.1429
C_D_C0151315 (Neck stiffness),M,0.979,0.981
C_D_C0151315 (Neck stiffness),N,0.0071,0.0095
C_D_C0151315 (Neck stiffness),P,0.0139,0.0095
C_D_C0151908 (Dry skin),M,0.4157,0.2286
C_D_C0151908 (Dry skin),N,0.0012,0.0095
C_D_C0151908 (Dry skin),P,0.5831,0.7619
C_D_C0205161 (Abnormal),M,0.9626,0.8
C_D_C0205161 (Abnormal),N,0.0056,0.019
C_D_C0205161 (Abnormal),P,0.0318,0.181
C_D_C0220870 (Lightheadedness),M,0.9348,0.9714
C_D_C0220870 (Lightheadedness),N,0.0116,0.0095
C_D_C0220870 (Lightheadedness),P,0.0536,0.019
C_D_C0221423 (Illness (finding)),M,0.8985,0.6
C_D_C0221423 (Illness (finding)),N,0.0193,0.0571
C_D_C0221423 (Illness (finding)),P,0.0823,0.3429
C_D_C0231217 (Multiple symptoms),M,0.985,0.9524
C_D_C0231217 (Multiple symptoms),N,0,0.0095
C_D_C0231217 (Multiple symptoms),P,0.0149,0.0381
C_D_C0231218 (Malaise),M,0.9583,0.8381
C_D_C0231218 (Malaise),N,0.0107,0.0095
C_D_C0231218 (Malaise),P,0.031,0.1524
C_D_C0231528 (Myalgia),M,0.9608,0.9333
C_D_C0231528 (Myalgia),N,0.0104,0.0381
C_D_C0231528 (Myalgia),P,0.0288,0.0286
C_D_C0231683 (Gait normal),M,0.9425,0.981
C_D_C0231683 (Gait normal),N,0,0.0095
C_D_C0231683 (Gait normal),P,0.0575,0.0095
C_D_C0231835 (Tachypnea),M,0.979,0.6476
C_D_C0231835 (Tachypnea),N,0.0064,0.019
C_D_C0231835 (Tachypnea),P,0.0146,0.3333
C_D_C0231875 (Expiratory wheezing),M,0.9879,0.8476
C_D_C0231875 (Expiratory wheezing),N,0.0003,0.0095
C_D_C0231875 (Expiratory wheezing),P,0.0118,0.1429
C_D_C0232462 (Decrease in appetite),M,0.9951,0.9429
C_D_C0232462 (Decrease in appetite),N,0.0001,0.0095
C_D_C0232462 (Decrease in appetite),P,0.0048,0.0476
C_D_C0232466 (Feeding difficulties),M,0.999,0.9714
C_D_C0232466 (Feeding difficulties),N,0,0.0095
C_D_C0232466 (Feeding difficulties),P,0.001,0.019
C_D_C0234215 (Sensory Discomfort),M,0.9092,0.9619
C_D_C0234215 (Sensory Discomfort),N,0.0045,0.0095
C_D_C0234215 (Sensory Discomfort),P,0.0863,0.0286
C_D_C0234233 (Sore to touch),M,0.3866,0.5429
C_D_C0234233 (Sore to touch),N,0.3015,0.4
C_D_C0234233 (Sore to touch),P,0.3119,0.0571
C_D_C0234238 (Ache),M,0.9888,0.9714
C_D_C0234238 (Ache),N,0.0004,0.0095
C_D_C0234238 (Ache),P,0.0109,0.019
C_D_C0234425 (Level of consciousness),M,0.96,0.9524
C_D_C0234425 (Level of consciousness),N,0.0241,0.0286
C_D_C0234425 (Level of consciousness),P,0.0159,0.019
C_D_C0235031 (Neurologic Symptoms),M,0.8609,0.5524
C_D_C0235031 (Neurologic Symptoms),N,0.0069,0.0095
C_D_C0235031 (Neurologic Symptoms),P,0.1322,0.4381
C_D_C0239110 (Consciousness clear),M,0.1927,0.419
C_D_C0239110 (Consciousness clear),N,0.0044,0.0095
C_D_C0239110 (Consciousness clear),P,0.8029,0.5714
C_D_C0239134 (Productive Cough),M,0.9788,0.9429
C_D_C0239134 (Productive Cough),N,0.0019,0.0095
C_D_C0239134 (Productive Cough),P,0.0194,0.0476
C_D_C0239574 (Low grade fever),M,0.9944,0.9619
C_D_C0239574 (Low grade fever),N,0,0.0095
C_D_C0239574 (Low grade fever),P,0.0056,0.0286
C_D_C0240741 (PHARYNGEAL EXUDATE),M,0.9996,0.981
C_D_C0240741 (PHARYNGEAL EXUDATE),N,0.0003,0.0095
C_D_C0240741 (PHARYNGEAL EXUDATE),P,0.0001,0.0095
C_D_C0240859 (Basilar Rales),M,0.8197,0.7143
C_D_C0240859 (Basilar Rales),N,0.0229,0.0762
C_D_C0240859 (Basilar Rales),P,0.1574,0.2095
C_D_C0241451 (Exudate on tonsils),M,0.9949,0.981
C_D_C0241451 (Exudate on tonsils),N,0.0041,0.0095
C_D_C0241451 (Exudate on tonsils),P,0.001,0.0095
C_D_C0241889 (Family history),M,0.5309,0.181
C_D_C0241889 (Family history),N,0.0239,0.1524
C_D_C0241889 (Family history),P,0.4452,0.6667
C_D_C0242429 (Sore Throat),M,0.8891,0.8857
C_D_C0242429 (Sore Throat),N,0.0538,0.0286
C_D_C0242429 (Sore Throat),P,0.0571,0.0857
C_D_C0260522 (Encounter due to family history of asthma),M,0.9988,0.9429
C_D_C0260522 (Encounter due to family history of asthma),N,0.0004,0.0381
C_D_C0260522 (Encounter due to family history of asthma),P,0.0008,0.019
C_D_C0277873 (Nasal Flaring),M,0.9971,0.9333
C_D_C0277873 (Nasal Flaring),N,0.0009,0.0286
C_D_C0277873 (Nasal Flaring),P,0.002,0.0381
C_D_C0278005 (Normal bowel sounds),M,0.752,0.6381
C_D_C0278005 (Normal bowel sounds),N,0,0.0095
C_D_C0278005 (Normal bowel sounds),P,0.248,0.3524
C_D_C0332167 (High risk of),M,0.9961,0.9524
C_D_C0332167 (High risk of),N,0.0004,0.0095
C_D_C0332167 (High risk of),P,0.0035,0.0381
C_D_C0332523 (Retraction (finding)),M,0.8739,0.6952
C_D_C0332523 (Retraction (finding)),N,0.1113,0.019
C_D_C0332523 (Retraction (finding)),P,0.0148,0.2857
C_D_C0332575 (Redness),M,0.8861,0.8857
C_D_C0332575 (Redness),N,0.0282,0.0381
C_D_C0332575 (Redness),P,0.0857,0.0762
C_D_C0347530 (Base deficit (finding)),M,0.9956,0.9238
C_D_C0347530 (Base deficit (finding)),N,0,0.0095
C_D_C0347530 (Base deficit (finding)),P,0.0044,0.0667
C_D_C0349790 (Exacerbation of asthma),M,0.9873,0.9048
C_D_C0349790 (Exacerbation of asthma),N,0.0002,0.0095
C_D_C0349790 (Exacerbation of asthma),P,0.0125,0.0857
C_D_C0392171 (Influenza-like symptoms),M,0.998,0.9619
C_D_C0392171 (Influenza-like symptoms),N,0.0002,0.0095
C_D_C0392171 (Influenza-like symptoms),P,0.0018,0.0286
C_D_C0424480 (Facial symmetry),M,0.9039,0.9524
C_D_C0424480 (Facial symmetry),N,0.0002,0.0095
C_D_C0424480 (Facial symmetry),P,0.0959,0.0381
C_D_C0424755 (Fever symptoms (finding)),M,0.6162,0.2286
C_D_C0424755 (Fever symptoms (finding)),N,0.2358,0.181
C_D_C0424755 (Fever symptoms (finding)),P,0.148,0.5905
C_D_C0425452 (No obstruction of airway),M,0.7449,0.9143
