===== Class Prior Probabilities =====
P(HMPV=False) = 0.9972732508256643
P(HMPV=True) = 0.002726749174335649

===== Conditional Probabilities =====
P(AGE=Not Mentioned | HMPV=False) = 1.1784809380708267E-4
P(AGE=18-64 | HMPV=False) = 0.5745212421189088
P(AGE=5-17 | HMPV=False) = 0.15904778740203876
P(AGE=65+ | HMPV=False) = 0.1342996877025514
P(AGE=<5 | HMPV=False) = 0.132013434682694
P(AGE=Not Mentioned | HMPV=True) = 0.00423728813559322
P(AGE=18-64 | HMPV=True) = 0.2838983050847458
P(AGE=5-17 | HMPV=True) = 0.1016949152542373
P(AGE=65+ | HMPV=True) = 0.2542372881355932
P(AGE=<5 | HMPV=True) = 0.3559322033898305
P(N_D_ETHNICITY=HISPANIC_OR_LATINO | HMPV=False) = 0.011631743936644118
P(N_D_ETHNICITY=Not Mentioned | HMPV=False) = 0.011773163315813044
P(N_D_ETHNICITY=NOT_HISPANIC_OR_LATINO | HMPV=False) = 0.9078299196266528
P(N_D_ETHNICITY=NOT_SPECIFIED | HMPV=False) = 0.06876517312089
P(N_D_ETHNICITY=HISPANIC_OR_LATINO | HMPV=True) = 0.01276595744680851
P(N_D_ETHNICITY=Not Mentioned | HMPV=True) = 0.01276595744680851
P(N_D_ETHNICITY=NOT_HISPANIC_OR_LATINO | HMPV=True) = 0.8978723404255319
P(N_D_ETHNICITY=NOT_SPECIFIED | HMPV=True) = 0.07659574468085106
P(N_D_RACE=BLACK | HMPV=False) = 0.38216958340698837
P(N_D_RACE=Not Mentioned | HMPV=False) = 0.0042425313770549766
P(N_D_RACE=NOT_SPECIFIED | HMPV=False) = 0.015497024335631372
P(N_D_RACE=OTHER | HMPV=False) = 0.035177656001414176
P(N_D_RACE=WHITE | HMPV=False) = 0.562913204878911
P(N_D_RACE=BLACK | HMPV=True) = 0.288135593220339
P(N_D_RACE=Not Mentioned | HMPV=True) = 0.00423728813559322
P(N_D_RACE=NOT_SPECIFIED | HMPV=True) = 0.0211864406779661
P(N_D_RACE=OTHER | HMPV=True) = 0.046610169491525424
P(N_D_RACE=WHITE | HMPV=True) = 0.6398305084745762
P(Abdominal Pain=Not Mentioned | HMPV=False) = 0.625045667212709
P(Abdominal Pain=Negated | HMPV=False) = 0.14922277350241006
P(Abdominal Pain=Present | HMPV=False) = 0.22573155928488092
P(Abdominal Pain=Not Mentioned | HMPV=True) = 0.688034188034188
P(Abdominal Pain=Negated | HMPV=True) = 0.15384615384615385
P(Abdominal Pain=Present | HMPV=True) = 0.1581196581196581
P(Arthralgia=Not Mentioned | HMPV=False) = 0.8702226202962771
P(Arthralgia=Negated | HMPV=False) = 0.04752925647885166
P(Arthralgia=Present | HMPV=False) = 0.08224812322487125
P(Arthralgia=Not Mentioned | HMPV=True) = 0.8418803418803419
P(Arthralgia=Negated | HMPV=True) = 0.05555555555555555
P(Arthralgia=Present | HMPV=True) = 0.10256410256410256
P(Back Pain=Not Mentioned | HMPV=False) = 0.8058406891918966
P(Back Pain=Negated | HMPV=False) = 0.05275005008662039
P(Back Pain=Present | HMPV=False) = 0.14140926072148305
P(Back Pain=Not Mentioned | HMPV=True) = 0.8547008547008547
P(Back Pain=Negated | HMPV=True) = 0.04700854700854701
P(Back Pain=Present | HMPV=True) = 0.09829059829059829
P(Birth History=Not Mentioned | HMPV=False) = 0.979753220275064
P(Birth History=Negated | HMPV=False) = 5.89254357535974E-5
P(Birth History=Present | HMPV=False) = 0.020187854289182468
P(Birth History=Not Mentioned | HMPV=True) = 0.905982905982906
P(Birth History=Negated | HMPV=True) = 0.004273504273504274
P(Birth History=Present | HMPV=True) = 0.08974358974358974
P(Bulla=Not Mentioned | HMPV=False) = 0.9849504437085312
P(Bulla=Negated | HMPV=False) = 0.002439513040198932
