Feature (description),Attribute,M,T
Class Prior,N/A,0.9668,0.0332
N_C_AGE (N/A),M,0,0.0003
N_C_AGE (N/A),ge18less65,0.5898,0.449
N_C_AGE (N/A),ge5less18,0.1599,0.2183
N_C_AGE (N/A),ge65,0.1204,0.1353
N_C_AGE (N/A),less5,0.1299,0.1971
N_D_RACE (N/A),BLACK,0.3884,0.4058
N_D_RACE (N/A),M,0.003,0.002
N_D_RACE (N/A),NOT_SPECIFIED,0.0066,0.0096
N_D_RACE (N/A),OTHER,0.0299,0.0352
N_D_RACE (N/A),WHITE,0.5721,0.5474
C_D_C0000737 (Abdominal Pain),M,0.6559,0.6196
C_D_C0000737 (Abdominal Pain),N,0.1234,0.1729
C_D_C0000737 (Abdominal Pain),P,0.2207,0.2075
C_D_C0003578 (Apnea),M,0.9788,0.9704
C_D_C0003578 (Apnea),N,0.0022,0.0067
C_D_C0003578 (Apnea),P,0.019,0.0229
C_D_C0004604 (Back Pain),M,0.8319,0.878
C_D_C0004604 (Back Pain),N,0.0285,0.0196
C_D_C0004604 (Back Pain),P,0.1396,0.1024
C_D_C0005603 (Birth History),M,0.9782,0.9561
C_D_C0005603 (Birth History),N,0,0.0003
C_D_C0005603 (Birth History),P,0.0218,0.0436
C_D_C0008031 (Chest Pain),M,0.614,0.6046
C_D_C0008031 (Chest Pain),N,0.2086,0.2088
C_D_C0008031 (Chest Pain),P,0.1774,0.1866
C_D_C0009812 (Constitutional Symptom),M,0.8298,0.7024
C_D_C0009812 (Constitutional Symptom),N,0.0032,0.0023
C_D_C0009812 (Constitutional Symptom),P,0.167,0.2953
C_D_C0010200 (Coughing),M,0.7456,0.2704
C_D_C0010200 (Coughing),N,0.1197,0.0569
C_D_C0010200 (Coughing),P,0.1348,0.6728
C_D_C0011991 (Diarrhea),M,0.7512,0.5195
C_D_C0011991 (Diarrhea),N,0.0745,0.136
C_D_C0011991 (Diarrhea),P,0.1743,0.3445
C_D_C0012569 (Diplopia),M,0.9588,0.9677
C_D_C0012569 (Diplopia),N,0.0141,0.014
C_D_C0012569 (Diplopia),P,0.0271,0.0183
C_D_C0012833 (Dizziness),M,0.8815,0.8939
C_D_C0012833 (Dizziness),N,0.0154,0.0083
C_D_C0012833 (Dizziness),P,0.1032,0.0978
C_D_C0013404 (Dyspnea),M,0.5772,0.5088
C_D_C0013404 (Dyspnea),N,0.165,0.1317
C_D_C0013404 (Dyspnea),P,0.2578,0.3595
C_D_C0013428 (Dysuria),M,0.8261,0.7739
C_D_C0013428 (Dysuria),N,0.0925,0.1334
C_D_C0013428 (Dysuria),P,0.0814,0.0928
C_D_C0015230 (Exanthema),M,0.4681,0.3565
C_D_C0015230 (Exanthema),N,0.4501,0.5853
C_D_C0015230 (Exanthema),P,0.0818,0.0582
C_D_C0015672 (Fatigue),M,0.9474,0.8427
C_D_C0015672 (Fatigue),N,0.0114,0.0067
C_D_C0015672 (Fatigue),P,0.0412,0.1506
C_D_C0015967 (Fever),M,0.4231,0.1563
C_D_C0015967 (Fever),N,0.3481,0.1167
C_D_C0015967 (Fever),P,0.2288,0.727
C_D_C0016512 (Foot pain),M,0.984,0.9983
C_D_C0016512 (Foot pain),N,0.0005,0.0003
C_D_C0016512 (Foot pain),P,0.0155,0.0013
C_D_C0017979 (Glycosuria),M,0.9149,0.863
C_D_C0017979 (Glycosuria),N,0.0001,0.0003
C_D_C0017979 (Glycosuria),P,0.085,0.1367
C_D_C0018681 (Headache),M,0.7416,0.6701
C_D_C0018681 (Headache),N,0.1158,0.1104
C_D_C0018681 (Headache),P,0.1427,0.2195
C_D_C0018808 (Heart murmur),M,0.3689,0.3099
C_D_C0018808 (Heart murmur),N,0.6036,0.6581
C_D_C0018808 (Heart murmur),P,0.0275,0.0319
C_D_C0019029 (Hemoglobin concentration result),M,0.8079,0.6841
C_D_C0019029 (Hemoglobin concentration result),N,0.0001,0.0003
C_D_C0019029 (Hemoglobin concentration result),P,0.192,0.3156
C_D_C0019214 (Hepatosplenomegaly),M,0.9078,0.9348
C_D_C0019214 (Hepatosplenomegaly),N,0.0889,0.0599
C_D_C0019214 (Hepatosplenomegaly),P,0.0033,0.0053
C_D_C0020440 (Hypercapnia),M,0.9984,0.9907
C_D_C0020440 (Hypercapnia),N,0.0002,0.001
C_D_C0020440 (Hypercapnia),P,0.0015,0.0083
C_D_C0020580 (Hypesthesia),M,0.849,0.9255
C_D_C0020580 (Hypesthesia),N,0.0655,0.0316
C_D_C0020580 (Hypesthesia),P,0.0855,0.0429
C_D_C0021294 ('Infant  Premature'),M,0.9983,0.9924
C_D_C0021294 ('Infant  Premature'),N,0,0.0003
C_D_C0021294 ('Infant  Premature'),P,0.0016,0.0073
C_D_C0022346 (Icterus),M,0.7091,0.7034
C_D_C0022346 (Icterus),N,0.0641,0.0855
C_D_C0022346 (Icterus),P,0.2268,0.2112
C_D_C0023380 (Lethargy),M,0.984,0.9541
C_D_C0023380 (Lethargy),N,0.0039,0.011
C_D_C0023380 (Lethargy),P,0.0122,0.0349
C_D_C0024031 (Low Back Pain),M,0.9654,0.9917
C_D_C0024031 (Low Back Pain),N,0.0005,0.0003
C_D_C0024031 (Low Back Pain),P,0.0341,0.008
C_D_C0026858 (Musculoskeletal Pain),M,0.9906,0.9977
C_D_C0026858 (Musculoskeletal Pain),N,0.0014,0.001
C_D_C0026858 (Musculoskeletal Pain),P,0.008,0.0013
C_D_C0027424 (Nasal congestion (finding)),M,0.9405,0.7596
C_D_C0027424 (Nasal congestion (finding)),N,0.029,0.0253
C_D_C0027424 (Nasal congestion (finding)),P,0.0305,0.2152
C_D_C0027497 (Nausea),M,0.6601,0.6349
C_D_C0027497 (Nausea),N,0.1187,0.0974
C_D_C0027497 (Nausea),P,0.2211,0.2677
C_D_C0028643 (Numbness),M,0.8452,0.9248
C_D_C0028643 (Numbness),N,0.0684,0.0316
C_D_C0028643 (Numbness),P,0.0864,0.0436
C_D_C0029053 (Decreased translucency),M,0.9891,0.9368
C_D_C0029053 (Decreased translucency),N,0.0003,0.0023
C_D_C0029053 (Decreased translucency),P,0.0106,0.0609
C_D_C0030193 (Pain),M,0.4628,0.723
C_D_C0030193 (Pain),N,0.1008,0.0486
C_D_C0030193 (Pain),P,0.4364,0.2285
C_D_C0030232 (Pallor),M,0.9411,0.9129
C_D_C0030232 (Pallor),N,0.0455,0.0702
C_D_C0030232 (Pallor),P,0.0134,0.017
C_D_C0030252 (Palpitations),M,0.8994,0.9315
C_D_C0030252 (Palpitations),N,0.0434,0.0353
C_D_C0030252 (Palpitations),P,0.0572,0.0333
C_D_C0034642 (Rales),M,0.8853,0.8194
C_D_C0034642 (Rales),N,0.0176,0.0479
C_D_C0034642 (Rales),P,0.0971,0.1327
C_D_C0036572 (Seizures),M,0.933,0.9238
C_D_C0036572 (Seizures),N,0.0112,0.021
C_D_C0036572 (Seizures),P,0.0558,0.0552
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.8516,0.6784
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0022,0.003
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.1462,0.3186
C_D_C0039231 (Tachycardia),M,0.9463,0.8264
C_D_C0039231 (Tachycardia),N,0.0103,0.0126
C_D_C0039231 (Tachycardia),P,0.0435,0.161
C_D_C0040460 (Toothache),M,0.9781,0.9967
C_D_C0040460 (Toothache),N,0.0011,0.0003
C_D_C0040460 (Toothache),P,0.0208,0.003
C_D_C0041657 (Unconscious State),M,0.9414,0.987
C_D_C0041657 (Unconscious State),N,0.0306,0.0047
C_D_C0041657 (Unconscious State),P,0.0279,0.0083
C_D_C0042571 (Vertigo),M,0.908,0.9182
C_D_C0042571 (Vertigo),N,0.0127,0.006
C_D_C0042571 (Vertigo),P,0.0793,0.0758
C_D_C0042963 (Vomiting),M,0.7054,0.5095
C_D_C0042963 (Vomiting),N,0.1442,0.1949
C_D_C0042963 (Vomiting),P,0.1504,0.2956
C_D_C0043144 (Wheezing),M,0.8566,0.6824
C_D_C0043144 (Wheezing),N,0.097,0.135
C_D_C0043144 (Wheezing),P,0.0465,0.1826
C_D_C0085393 (Immunocompromised Host),M,0.995,0.9677
C_D_C0085393 (Immunocompromised Host),N,0.0009,0.0116
C_D_C0085393 (Immunocompromised Host),P,0.0041,0.0206
C_D_C0085593 (Chills),M,0.6637,0.6821
C_D_C0085593 (Chills),N,0.0829,0.0392
C_D_C0085593 (Chills),P,0.2534,0.2787
C_D_C0085639 (Falls),M,0.9147,0.9558
C_D_C0085639 (Falls),N,0.0063,0.002
C_D_C0085639 (Falls),P,0.079,0.0422
C_D_C0150312 (Present),M,0.7733,0.7539
C_D_C0150312 (Present),N,0.0047,0.0017
C_D_C0150312 (Present),P,0.2219,0.2444
C_D_C0151315 (Neck stiffness),M,0.9822,0.9418
C_D_C0151315 (Neck stiffness),N,0.0066,0.0276
C_D_C0151315 (Neck stiffness),P,0.0113,0.0306
C_D_C0152029 (Congestion of nasal sinus),M,0.9955,0.9737
C_D_C0152029 (Congestion of nasal sinus),N,0.0003,0.003
C_D_C0152029 (Congestion of nasal sinus),P,0.0043,0.0233
C_D_C0205161 (Abnormal),M,0.9599,0.8899
C_D_C0205161 (Abnormal),N,0.0062,0.0086
C_D_C0205161 (Abnormal),P,0.0339,0.1014
C_D_C0221198 (Lesion),M,0.9113,0.9495
C_D_C0221198 (Lesion),N,0.0249,0.016
C_D_C0221198 (Lesion),P,0.0638,0.0346
C_D_C0221423 (Illness (finding)),M,0.8976,0.6342
