Feature (description),Attribute,F,T
Class Prior,N/A,0.1105,0.8895
N_C_AGE (N/A),M,0.0004,0.0003
N_C_AGE (N/A),ge18less65,0.2425,0.5678
N_C_AGE (N/A),ge5less18,0.2235,0.16
N_C_AGE (N/A),ge65,0.0847,0.1382
N_C_AGE (N/A),less5,0.4489,0.1337
N_D_RACE (N/A),BLACK,0.351,0.3819
N_D_RACE (N/A),M,0.007,0.0061
N_D_RACE (N/A),NOT_SPECIFIED,0.0241,0.0197
N_D_RACE (N/A),OTHER,0.0307,0.0304
N_D_RACE (N/A),WHITE,0.5873,0.5618
C_D_C0000737 (Abdominal Pain),M,0.69,0.5847
C_D_C0000737 (Abdominal Pain),N,0.1696,0.1893
C_D_C0000737 (Abdominal Pain),P,0.1404,0.226
C_D_C0003578 (Apnea),M,0.9576,0.9741
C_D_C0003578 (Apnea),N,0.0086,0.0015
C_D_C0003578 (Apnea),P,0.0338,0.0244
C_D_C0003862 (Arthralgia),M,0.9113,0.8461
C_D_C0003862 (Arthralgia),N,0.0366,0.0676
C_D_C0003862 (Arthralgia),P,0.0521,0.0863
C_D_C0004604 (Back Pain),M,0.9028,0.8038
C_D_C0004604 (Back Pain),N,0.0338,0.0587
C_D_C0004604 (Back Pain),P,0.0634,0.1375
C_D_C0005603 (Birth History),M,0.8623,0.97
C_D_C0005603 (Birth History),N,0.0004,0.0001
C_D_C0005603 (Birth History),P,0.1373,0.0299
C_D_C0007859 (Neck Pain),M,0.8845,0.8514
C_D_C0007859 (Neck Pain),N,0.0887,0.0872
C_D_C0007859 (Neck Pain),P,0.0268,0.0614
C_D_C0008031 (Chest Pain),M,0.7071,0.4899
C_D_C0008031 (Chest Pain),N,0.189,0.3548
C_D_C0008031 (Chest Pain),P,0.1039,0.1554
C_D_C0008035 (Chest wall pain),M,0.9969,0.9859
C_D_C0008035 (Chest wall pain),N,0.0004,0.0006
C_D_C0008035 (Chest wall pain),P,0.0027,0.0135
C_D_C0009791 (Consciousness related finding),M,0.9798,0.9498
C_D_C0009791 (Consciousness related finding),N,0.0004,0.0007
C_D_C0009791 (Consciousness related finding),P,0.0198,0.0495
C_D_C0009806 (Constipation),M,0.9168,0.8749
C_D_C0009806 (Constipation),N,0.0237,0.0318
C_D_C0009806 (Constipation),P,0.0595,0.0933
C_D_C0009812 (Constitutional Symptom),M,0.515,0.8085
C_D_C0009812 (Constitutional Symptom),N,0.0066,0.0122
C_D_C0009812 (Constitutional Symptom),P,0.4784,0.1792
C_D_C0010200 (Coughing),M,0.2575,0.5934
C_D_C0010200 (Coughing),N,0.0688,0.2207
C_D_C0010200 (Coughing),P,0.6737,0.1859
C_D_C0010520 (Cyanosis),M,0.949,0.9587
C_D_C0010520 (Cyanosis),N,0.0206,0.0279
C_D_C0010520 (Cyanosis),P,0.0303,0.0134
C_D_C0011991 (Diarrhea),M,0.5648,0.6453
C_D_C0011991 (Diarrhea),N,0.1315,0.1466
C_D_C0011991 (Diarrhea),P,0.3038,0.2081
C_D_C0012569 (Diplopia),M,0.9701,0.9281
C_D_C0012569 (Diplopia),N,0.0171,0.038
C_D_C0012569 (Diplopia),P,0.0128,0.0339
C_D_C0012833 (Dizziness),M,0.9389,0.8588
C_D_C0012833 (Dizziness),N,0.0109,0.0192
C_D_C0012833 (Dizziness),P,0.0502,0.122
C_D_C0013404 (Dyspnea),M,0.5667,0.4484
C_D_C0013404 (Dyspnea),N,0.1202,0.3206
C_D_C0013404 (Dyspnea),P,0.3131,0.231
C_D_C0013428 (Dysuria),M,0.767,0.6568
C_D_C0013428 (Dysuria),N,0.196,0.2868
C_D_C0013428 (Dysuria),P,0.037,0.0564
C_D_C0015230 (Exanthema),M,0.3073,0.3728
C_D_C0015230 (Exanthema),N,0.592,0.5312
C_D_C0015230 (Exanthema),P,0.1007,0.096
C_D_C0015672 (Fatigue),M,0.8324,0.9324
C_D_C0015672 (Fatigue),N,0.0093,0.0179
C_D_C0015672 (Fatigue),P,0.1583,0.0497
C_D_C0015967 (Fever),M,0.1214,0.3275
C_D_C0015967 (Fever),N,0.1501,0.4556
C_D_C0015967 (Fever),P,0.7285,0.2169
C_D_C0016199 (Flank Pain),M,0.9973,0.976
C_D_C0016199 (Flank Pain),N,0.0012,0.003
C_D_C0016199 (Flank Pain),P,0.0016,0.021
C_D_C0016512 (Foot pain),M,0.9984,0.9809
C_D_C0016512 (Foot pain),N,0.0004,0.0005
C_D_C0016512 (Foot pain),P,0.0012,0.0186
C_D_C0016928 (Gait),M,0.9856,0.9506
C_D_C0016928 (Gait),N,0.0004,0.0005
C_D_C0016928 (Gait),P,0.014,0.049
C_D_C0018681 (Headache),M,0.7487,0.6649
C_D_C0018681 (Headache),N,0.0972,0.1933
C_D_C0018681 (Headache),P,0.154,0.1417
C_D_C0018808 (Heart murmur),M,0.3228,0.387
C_D_C0018808 (Heart murmur),N,0.6492,0.5854
C_D_C0018808 (Heart murmur),P,0.028,0.0275
C_D_C0018926 (Hematemesis),M,0.9876,0.9737
C_D_C0018926 (Hematemesis),N,0.0047,0.0176
C_D_C0018926 (Hematemesis),P,0.0078,0.0087
C_D_C0019029 (Hemoglobin concentration result),M,0.6799,0.7457
C_D_C0019029 (Hemoglobin concentration result),N,0.0004,0.0001
C_D_C0019029 (Hemoglobin concentration result),P,0.3197,0.2542
C_D_C0019079 (Hemoptysis),M,0.9603,0.9618
C_D_C0019079 (Hemoptysis),N,0.028,0.0235
C_D_C0019079 (Hemoptysis),P,0.0117,0.0146
C_D_C0019214 (Hepatosplenomegaly),M,0.9487,0.9288
C_D_C0019214 (Hepatosplenomegaly),N,0.0342,0.0685
C_D_C0019214 (Hepatosplenomegaly),P,0.0171,0.0027
C_D_C0020440 (Hypercapnia),M,0.9879,0.9982
C_D_C0020440 (Hypercapnia),N,0.0008,0.0002
C_D_C0020440 (Hypercapnia),P,0.0113,0.0016
C_D_C0020580 (Hypesthesia),M,0.8872,0.7108
C_D_C0020580 (Hypesthesia),N,0.0832,0.222
C_D_C0020580 (Hypesthesia),P,0.0296,0.0673
C_D_C0021294 ('Infant  Premature'),M,0.9817,0.9979
C_D_C0021294 ('Infant  Premature'),N,0.0004,0
C_D_C0021294 ('Infant  Premature'),P,0.0179,0.002
C_D_C0022346 (Icterus),M,0.7802,0.7231
C_D_C0022346 (Icterus),N,0.1237,0.0671
C_D_C0022346 (Icterus),P,0.0961,0.2097
C_D_C0023380 (Lethargy),M,0.9498,0.9841
C_D_C0023380 (Lethargy),N,0.007,0.0025
C_D_C0023380 (Lethargy),P,0.0432,0.0135
C_D_C0024031 (Low Back Pain),M,0.9934,0.9653
C_D_C0024031 (Low Back Pain),N,0.0008,0.0006
C_D_C0024031 (Low Back Pain),P,0.0058,0.034
C_D_C0025287 (Meningism),M,0.9607,0.9765
C_D_C0025287 (Meningism),N,0.0342,0.021
C_D_C0025287 (Meningism),P,0.0051,0.0026
