Feature (description),Attribute,M,T
Class Prior,N/A,0.9882,0.0118
N_C_AGE (N/A),M,0,0.0009
N_C_AGE (N/A),ge18less65,0.5955,0.0399
N_C_AGE (N/A),ge5less18,0.1582,0.0589
N_C_AGE (N/A),ge65,0.1185,0.0399
N_C_AGE (N/A),less5,0.1278,0.8604
C_D_C0000737 (Abdominal Pain),M,0.6489,0.8849
C_D_C0000737 (Abdominal Pain),N,0.1278,0.0742
C_D_C0000737 (Abdominal Pain),P,0.2234,0.0409
C_D_C0003578 (Apnea),M,0.9836,0.8972
C_D_C0003578 (Apnea),N,0.0018,0.0304
C_D_C0003578 (Apnea),P,0.0146,0.0723
C_D_C0004604 (Back Pain),M,0.8416,0.9743
C_D_C0004604 (Back Pain),N,0.0257,0.0057
C_D_C0004604 (Back Pain),P,0.1327,0.02
C_D_C0005603 (Birth History),M,0.9797,0.687
C_D_C0005603 (Birth History),N,0,0.001
C_D_C0005603 (Birth History),P,0.0203,0.3121
C_D_C0008031 (Chest Pain),M,0.6038,0.9239
C_D_C0008031 (Chest Pain),N,0.2039,0.0504
C_D_C0008031 (Chest Pain),P,0.1923,0.0257
C_D_C0009812 (Constitutional Symptom),M,0.8309,0.3996
C_D_C0009812 (Constitutional Symptom),N,0.0041,0.0038
C_D_C0009812 (Constitutional Symptom),P,0.1651,0.5966
C_D_C0010200 (Coughing),M,0.7427,0.2445
C_D_C0010200 (Coughing),N,0.1125,0.0162
C_D_C0010200 (Coughing),P,0.1448,0.7393
C_D_C0011991 (Diarrhea),M,0.7435,0.6622
C_D_C0011991 (Diarrhea),N,0.0659,0.1085
C_D_C0011991 (Diarrhea),P,0.1906,0.2293
C_D_C0012833 (Dizziness),M,0.878,0.9829
C_D_C0012833 (Dizziness),N,0.018,0.0019
C_D_C0012833 (Dizziness),P,0.1041,0.0152
C_D_C0013404 (Dyspnea),M,0.5673,0.6632
C_D_C0013404 (Dyspnea),N,0.1634,0.0219
C_D_C0013404 (Dyspnea),P,0.2693,0.3149
C_D_C0015230 (Exanthema),M,0.4673,0.372
C_D_C0015230 (Exanthema),N,0.4364,0.5756
C_D_C0015230 (Exanthema),P,0.0963,0.0523
C_D_C0015672 (Fatigue),M,0.9487,0.9343
C_D_C0015672 (Fatigue),N,0.0087,0.0048
C_D_C0015672 (Fatigue),P,0.0426,0.0609
C_D_C0015967 (Fever),M,0.4085,0.1427
C_D_C0015967 (Fever),N,0.3512,0.2417
C_D_C0015967 (Fever),P,0.2403,0.6156
C_D_C0016512 (Foot pain),M,0.9846,0.9981
C_D_C0016512 (Foot pain),N,0.0005,0.001
C_D_C0016512 (Foot pain),P,0.0149,0.001
C_D_C0017979 (Glycosuria),M,0.936,0.8287
C_D_C0017979 (Glycosuria),N,0.0001,0.001
C_D_C0017979 (Glycosuria),P,0.0639,0.1703
C_D_C0018681 (Headache),M,0.733,0.942
C_D_C0018681 (Headache),N,0.1153,0.0428
C_D_C0018681 (Headache),P,0.1517,0.0152
C_D_C0019029 (Hemoglobin concentration result),M,0.8569,0.7022
C_D_C0019029 (Hemoglobin concentration result),N,0,0.001
C_D_C0019029 (Hemoglobin concentration result),P,0.1431,0.2969
C_D_C0019079 (Hemoptysis),M,0.9799,0.9886
C_D_C0019079 (Hemoptysis),N,0.0085,0.0076
C_D_C0019079 (Hemoptysis),P,0.0115,0.0038
C_D_C0019214 (Hepatosplenomegaly),M,0.9019,0.9829
C_D_C0019214 (Hepatosplenomegaly),N,0.0957,0.0086
C_D_C0019214 (Hepatosplenomegaly),P,0.0024,0.0086
C_D_C0020580 (Hypesthesia),M,0.8535,0.9924
C_D_C0020580 (Hypesthesia),N,0.0545,0.0048
C_D_C0020580 (Hypesthesia),P,0.0919,0.0029
C_D_C0021294 ('Infant  Premature'),M,0.9985,0.961
C_D_C0021294 ('Infant  Premature'),N,0,0.001
C_D_C0021294 ('Infant  Premature'),P,0.0015,0.0381
C_D_C0022346 (Icterus),M,0.7194,0.8011
C_D_C0022346 (Icterus),N,0.0663,0.1627
C_D_C0022346 (Icterus),P,0.2144,0.0362
C_D_C0023380 (Lethargy),M,0.9844,0.9163
C_D_C0023380 (Lethargy),N,0.0042,0.0295
C_D_C0023380 (Lethargy),P,0.0114,0.0542
C_D_C0024031 (Low Back Pain),M,0.9656,0.9981
C_D_C0024031 (Low Back Pain),N,0.0005,0.001
C_D_C0024031 (Low Back Pain),P,0.0339,0.001
C_D_C0027424 (Nasal congestion (finding)),M,0.9413,0.5833
C_D_C0027424 (Nasal congestion (finding)),N,0.0265,0.0181
C_D_C0027424 (Nasal congestion (finding)),P,0.0322,0.3987
C_D_C0027497 (Nausea),M,0.6537,0.9467
C_D_C0027497 (Nausea),N,0.1144,0.0247
C_D_C0027497 (Nausea),P,0.2319,0.0285
C_D_C0028643 (Numbness),M,0.8493,0.9924
C_D_C0028643 (Numbness),N,0.0571,0.0048
C_D_C0028643 (Numbness),P,0.0936,0.0029
C_D_C0029053 (Decreased translucency),M,0.9895,0.9001
C_D_C0029053 (Decreased translucency),N,0.0003,0.001
C_D_C0029053 (Decreased translucency),P,0.0101,0.099
C_D_C0030193 (Pain),M,0.4552,0.8963
C_D_C0030193 (Pain),N,0.1056,0.0285
C_D_C0030193 (Pain),P,0.4392,0.0752
C_D_C0030232 (Pallor),M,0.9337,0.862
C_D_C0030232 (Pallor),N,0.0469,0.118
C_D_C0030232 (Pallor),P,0.0193,0.02
C_D_C0030252 (Palpitations),M,0.8989,0.9886
C_D_C0030252 (Palpitations),N,0.0365,0.0057
C_D_C0030252 (Palpitations),P,0.0646,0.0057
C_D_C0034642 (Rales),M,0.8194,0.7593
C_D_C0034642 (Rales),N,0.0231,0.0304
C_D_C0034642 (Rales),P,0.1575,0.2103
C_D_C0035508 (Rhonchi),M,0.8969,0.8868
C_D_C0035508 (Rhonchi),N,0.0069,0.0019
C_D_C0035508 (Rhonchi),P,0.0962,0.1113
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.8518,0.4225
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.002,0.001
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.1461,0.5766
C_D_C0039231 (Tachycardia),M,0.9529,0.8554
C_D_C0039231 (Tachycardia),N,0.0074,0.0057
C_D_C0039231 (Tachycardia),P,0.0397,0.1389
C_D_C0040460 (Toothache),M,0.9773,0.9981
C_D_C0040460 (Toothache),N,0.001,0.001
C_D_C0040460 (Toothache),P,0.0217,0.001
C_D_C0041657 (Unconscious State),M,0.9376,0.9943
C_D_C0041657 (Unconscious State),N,0.0319,0.0019
